"district","neighborhood","year","hea_fac_health","hea_fac_welfare","hea_good","hea_impairment","hea_psych","hea_control","hea_smoke","hea_overweight","hea_lonely"
"A Centrum","Valkenburg",2015,3,0,76,10,5,7,25,34,10
"A Centrum","Valkenburg",2016,7,2,78,12,6,8,27,37,11
"A Centrum","Valkenburg",2017,8,3,79,13,6,8,28,38,11
"A Centrum","Valkenburg",2018,3,0,75,10,5,7,25,34,9
"A Centrum","Valkenburg",2019,6,1,77,11,6,8,27,36,11
"A Centrum","Valkenburg",2020,5,1,77,11,5,7,26,35,10
"A Centrum","Van Loonbuurt",2015,27,8,84,9,5,6,26,32,9
"A Centrum","Van Loonbuurt",2016,26,7,83,8,5,6,26,31,9
"A Centrum","Van Loonbuurt",2017,26,7,83,8,5,6,26,31,9
"A Centrum","Van Loonbuurt",2018,30,9,85,10,6,7,28,34,10
"A Centrum","Van Loonbuurt",2019,27,7,83,8,5,6,26,31,9
"A Centrum","Van Loonbuurt",2020,30,9,86,10,6,7,28,34,11
"A Centrum","Waterloopleinbuurt",2015,8,3,78,11,7,8,30,36,12
"A Centrum","Waterloopleinbuurt",2016,8,3,78,11,7,8,30,36,12
"A Centrum","Waterloopleinbuurt",2017,16,7,83,15,9,10,33,41,15
"A Centrum","Waterloopleinbuurt",2018,6,2,77,10,7,8,29,35,11
"A Centrum","Waterloopleinbuurt",2019,12,5,80,13,8,9,32,38,13
"A Centrum","Waterloopleinbuurt",2020,11,5,80,13,8,9,31,38,13
"A Centrum","Weesperbuurt",2015,43,8,75,11,7,8,30,33,12
"A Centrum","Weesperbuurt",2016,46,9,77,13,8,9,31,35,13
"A Centrum","Weesperbuurt",2017,50,11,79,15,9,10,33,38,14
"A Centrum","Weesperbuurt",2018,49,11,79,15,9,10,33,37,14
"A Centrum","Weesperbuurt",2019,46,9,77,13,8,9,31,35,13
"A Centrum","Weesperbuurt",2020,49,10,78,14,9,10,32,37,14
"A Centrum","Westelijke Eilanden",2015,23,8,78,11,7,8,29,38,11
"A Centrum","Westelijke Eilanden",2016,23,8,78,11,7,8,29,38,11
"A Centrum","Westelijke Eilanden",2017,21,7,77,10,7,7,28,37,10
"A Centrum","Westelijke Eilanden",2018,22,7,77,10,7,8,28,37,11
"A Centrum","Westelijke Eilanden",2019,23,8,78,11,7,8,29,38,11
"A Centrum","Westelijke Eilanden",2020,21,7,77,10,7,7,28,37,10
"A Centrum","Westerdokseiland",2015,11,6,76,11,5,7,24,38,8
"A Centrum","Westerdokseiland",2016,14,7,78,12,6,8,25,40,9
"A Centrum","Westerdokseiland",2017,12,6,77,11,5,7,24,39,8
"A Centrum","Westerdokseiland",2018,13,7,78,12,6,8,25,40,9
"A Centrum","Westerdokseiland",2019,10,5,76,10,5,7,23,37,8
"A Centrum","Westerdokseiland",2020,14,7,78,12,6,8,25,40,9
"A Centrum","Weteringbuurt",2015,41,6,84,7,6,6,29,30,10
"A Centrum","Weteringbuurt",2016,40,6,84,7,6,6,29,29,10
"A Centrum","Weteringbuurt",2017,43,7,86,8,7,7,30,31,11
"A Centrum","Weteringbuurt",2018,37,5,82,5,5,5,28,27,9
"A Centrum","Weteringbuurt",2019,46,9,88,10,8,8,32,33,12
"A Centrum","Weteringbuurt",2020,39,5,83,6,6,6,28,28,10
"A Centrum","Wittenburg",2015,6,10,71,13,8,10,27,39,11
"A Centrum","Wittenburg",2016,10,12,74,15,9,11,29,42,13
"A Centrum","Wittenburg",2017,13,13,76,17,10,12,30,44,14
"A Centrum","Wittenburg",2018,1,7,68,10,6,8,25,35,10
"A Centrum","Wittenburg",2019,8,11,73,14,8,10,28,40,12
"A Centrum","Wittenburg",2020,13,13,76,16,10,12,30,44,14
"A Centrum","Zaagpoortbuurt",2015,4,3,80,11,9,9,38,34,15
"A Centrum","Zaagpoortbuurt",2016,3,2,79,10,9,9,38,33,15
"A Centrum","Zaagpoortbuurt",2017,5,3,80,11,10,10,39,35,16
"A Centrum","Zaagpoortbuurt",2018,8,4,82,13,10,11,40,36,17
"A Centrum","Zaagpoortbuurt",2019,0,0,77,8,8,8,36,31,14
"A Centrum","Zaagpoortbuurt",2020,2,2,79,10,9,9,38,33,15
"A Centrum","Zuiderkerkbuurt",2015,13,5,77,12,7,8,30,38,12
"A Centrum","Zuiderkerkbuurt",2016,12,5,77,12,7,8,30,37,12
"A Centrum","Zuiderkerkbuurt",2017,10,4,76,11,6,7,29,36,11
"A Centrum","Zuiderkerkbuurt",2018,8,3,74,10,6,7,28,34,10
"A Centrum","Zuiderkerkbuurt",2019,10,4,76,11,7,7,29,36,11
"A Centrum","Zuiderkerkbuurt",2020,15,7,79,14,8,9,32,39,13
"B Westpoort","Alfa-driehoek",2015,3,2,84,11,7,8,28,46,14
"B Westpoort","Alfa-driehoek",2016,3,2,84,11,7,8,28,46,14
"B Westpoort","Alfa-driehoek",2017,5,3,85,12,7,9,29,47,15
"B Westpoort","Alfa-driehoek",2018,11,6,89,15,9,10,31,51,17
"B Westpoort","Alfa-driehoek",2019,8,5,87,14,8,10,30,50,16
"B Westpoort","Alfa-driehoek",2020,3,2,84,11,7,8,28,46,14
"B Westpoort","Amerikahaven",2015,1,0,68,17,10,13,39,49,19
"B Westpoort","Amerikahaven",2016,1,0,68,17,10,13,39,49,19
"B Westpoort","Amerikahaven",2017,1,0,68,17,10,13,39,49,19
"B Westpoort","Amerikahaven",2018,2,0,69,18,10,13,39,50,19
"B Westpoort","Amerikahaven",2019,0,0,65,14,9,11,37,45,17
"B Westpoort","Amerikahaven",2020,0,0,66,15,9,12,37,47,18
"B Westpoort","Coenhaven/Mercuriushaven",2015,5,2,82,10,6,7,27,42,15
"B Westpoort","Coenhaven/Mercuriushaven",2016,4,2,82,10,6,7,27,41,15
"B Westpoort","Coenhaven/Mercuriushaven",2017,10,5,85,13,8,9,30,45,17
"B Westpoort","Coenhaven/Mercuriushaven",2018,2,1,81,9,6,6,26,40,14
"B Westpoort","Coenhaven/Mercuriushaven",2019,3,2,82,10,6,7,27,41,15
"B Westpoort","Coenhaven/Mercuriushaven",2020,7,4,84,12,7,8,28,43,16
"B Westpoort","Westhaven Noord",2015,0,1,73,14,6,10,27,54,9
"B Westpoort","Westhaven Noord",2016,0,2,74,15,7,11,28,55,10
"B Westpoort","Westhaven Noord",2017,0,1,72,14,6,10,27,53,9
"B Westpoort","Westhaven Noord",2018,2,3,75,16,8,12,29,56,11
"B Westpoort","Westhaven Noord",2019,0,0,72,13,6,10,26,52,9
"B Westpoort","Westhaven Noord",2020,1,2,75,16,7,11,28,56,10
"B Westpoort","Westhaven Zuid",2015,0,0,81,8,9,9,40,40,15
"B Westpoort","Westhaven Zuid",2016,0,0,81,8,9,9,40,40,15
"B Westpoort","Westhaven Zuid",2017,0,0,81,8,9,9,40,40,15
"B Westpoort","Westhaven Zuid",2018,3,1,83,9,10,10,41,42,16
"B Westpoort","Westhaven Zuid",2019,0,0,79,6,8,8,39,38,14
"B Westpoort","Westhaven Zuid",2020,0,0,80,7,8,8,39,39,14
"E West","Balboaplein e.o.",2015,20,15,74,18,12,13,35,41,16
"E West","Balboaplein e.o.",2016,18,14,73,17,11,12,34,40,15
"E West","Balboaplein e.o.",2017,15,12,71,15,10,11,33,38,14
"E West","Balboaplein e.o.",2018,17,14,73,17,11,12,34,40,15
"E West","Balboaplein e.o.",2019,18,14,73,17,11,12,34,40,15
"E West","Balboaplein e.o.",2020,16,13,72,16,10,11,33,38,14
"E West","Bedrijvencentrum Westerkwartier",2015,4,3,86,10,6,7,27,41,8
"E West","Bedrijvencentrum Westerkwartier",2016,1,1,84,8,5,6,26,39,7
"E West","Bedrijvencentrum Westerkwartier",2017,0,0,82,6,4,5,25,37,6
"E West","Bedrijvencentrum Westerkwartier",2018,1,1,84,8,5,6,26,39,7
"E West","Bedrijvencentrum Westerkwartier",2019,2,2,85,9,5,6,27,40,8
"E West","Bedrijvencentrum Westerkwartier",2020,0,0,82,6,4,5,25,37,6
"E West","Bedrijventerrein Landlust",2015,2,2,81,10,9,8,34,31,13
"E West","Bedrijventerrein Landlust",2016,2,2,81,10,9,8,34,31,13
"E West","Bedrijventerrein Landlust",2017,2,2,81,10,9,8,34,31,13
"E West","Bedrijventerrein Landlust",2018,8,5,84,13,11,10,37,35,15
"E West","Bedrijventerrein Landlust",2019,7,4,84,13,10,10,36,35,15
"E West","Bedrijventerrein Landlust",2020,2,2,81,10,9,8,34,31,13
"E West","Bedrijventerrein Sloterdijk I",2015,2,3,58,31,22,22,42,55,26
"E West","Bedrijventerrein Sloterdijk I",2016,2,3,58,31,22,22,42,55,26
"E West","Bedrijventerrein Sloterdijk I",2017,1,3,58,31,22,22,42,55,26
"E West","Bedrijventerrein Sloterdijk I",2018,0,1,55,29,21,21,40,52,24
"E West","Bedrijventerrein Sloterdijk I",2019,1,2,57,30,22,22,41,54,26
"E West","Bedrijventerrein Sloterdijk I",2020,6,5,60,33,23,23,44,58,27
"E West","Bellamybuurt Noord",2015,21,9,72,13,9,10,34,36,13
"E West","Bellamybuurt Noord",2016,24,10,74,14,10,11,35,38,14
"E West","Bellamybuurt Noord",2017,22,9,73,13,10,11,34,37,13
"E West","Bellamybuurt Noord",2018,24,10,74,14,10,11,35,38,14
"E West","Bellamybuurt Noord",2019,25,11,75,15,10,11,36,39,14
"E West","Bellamybuurt Noord",2020,26,11,75,15,11,12,36,40,15
"E West","Bellamybuurt Zuid",2015,10,10,76,9,7,7,32,30,10
"E West","Bellamybuurt Zuid",2016,14,12,79,11,8,8,34,33,12
"E West","Bellamybuurt Zuid",2017,19,14,82,14,9,10,36,36,14
"E West","Bellamybuurt Zuid",2018,16,13,80,12,9,9,35,35,13
"E West","Bellamybuurt Zuid",2019,5,8,74,7,6,5,30,27,9
"E West","Bellamybuurt Zuid",2020,13,11,78,10,8,8,33,32,12
"E West","Borgerbuurt",2015,15,11,63,23,11,14,29,43,15
"E West","Borgerbuurt",2016,17,12,64,24,12,15,30,45,16
"E West","Borgerbuurt",2017,17,12,64,24,12,15,30,45,16
"E West","Borgerbuurt",2018,13,10,61,22,11,14,28,42,14
"E West","Borgerbuurt",2019,17,12,64,24,12,15,30,45,16
"E West","Borgerbuurt",2020,19,13,65,25,13,16,31,47,17
"E West","Bosleeuw",2015,27,18,72,21,14,15,35,47,16
"E West","Bosleeuw",2016,23,16,70,19,13,14,33,44,15
"E West","Bosleeuw",2017,27,18,72,21,14,15,35,47,16
"E West","Bosleeuw",2018,18,13,67,16,12,12,31,40,13
"E West","Bosleeuw",2019,28,18,73,22,14,16,35,47,17
"E West","Bosleeuw",2020,18,14,67,16,12,12,31,41,13
"E West","Buyskade e.o.",2015,33,8,81,12,8,9,30,39,11
"E West","Buyskade e.o.",2016,31,7,80,11,7,8,29,37,10
"E West","Buyskade e.o.",2017,28,6,78,9,6,7,28,35,9
"E West","Buyskade e.o.",2018,35,9,83,13,8,9,31,40,11
"E West","Buyskade e.o.",2019,33,8,81,12,7,8,30,38,11
"E West","Buyskade e.o.",2020,33,8,81,12,8,9,30,38,11
"E West","Columbusplein e.o.",2015,18,9,70,19,11,13,33,42,16
"E West","Columbusplein e.o.",2016,19,9,70,19,11,13,33,42,16
"E West","Columbusplein e.o.",2017,18,9,70,19,11,13,33,41,16
"E West","Columbusplein e.o.",2018,17,8,69,18,10,12,32,40,15
"E West","Columbusplein e.o.",2019,19,9,70,19,11,13,33,42,16
"E West","Columbusplein e.o.",2020,23,11,73,21,12,14,35,45,17
"E West","Cremerbuurt Oost",2015,20,2,82,7,6,7,29,30,11
"E West","Cremerbuurt Oost",2016,21,3,83,8,6,7,30,31,11
"E West","Cremerbuurt Oost",2017,17,1,80,6,5,6,28,28,9
"E West","Cremerbuurt Oost",2018,18,1,81,6,5,6,29,29,10
"E West","Cremerbuurt Oost",2019,21,3,83,8,6,7,30,31,11
"E West","Cremerbuurt Oost",2020,24,4,85,10,7,8,31,33,12
"E West","Cremerbuurt West",2015,60,18,81,8,6,7,29,30,11
"E West","Cremerbuurt West",2016,61,19,82,9,6,7,30,31,11
"E West","Cremerbuurt West",2017,65,21,85,11,7,8,32,34,13
"E West","Cremerbuurt West",2018,61,19,82,9,6,7,30,31,11
"E West","Cremerbuurt West",2019,59,18,81,8,6,6,29,30,10
"E West","Cremerbuurt West",2020,59,18,81,8,5,6,29,30,10
"E West","Da Costabuurt Noord",2015,69,17,82,12,8,9,32,36,12
"E West","Da Costabuurt Noord",2016,66,16,80,10,7,8,31,34,11
"E West","Da Costabuurt Noord",2017,63,15,78,8,6,7,30,32,10
"E West","Da Costabuurt Noord",2018,64,15,79,9,7,7,30,33,10
"E West","Da Costabuurt Noord",2019,68,17,81,11,7,8,32,35,12
"E West","Da Costabuurt Noord",2020,64,15,79,9,7,7,30,33,10
"E West","Da Costabuurt Zuid",2015,11,3,80,9,7,7,32,30,12
"E West","Da Costabuurt Zuid",2016,12,3,81,9,7,7,32,31,12
"E West","Da Costabuurt Zuid",2017,17,5,84,11,8,8,34,34,14
"E West","Da Costabuurt Zuid",2018,10,2,80,8,7,6,31,30,11
"E West","Da Costabuurt Zuid",2019,13,4,82,10,7,7,33,32,12
"E West","Da Costabuurt Zuid",2020,11,3,80,9,7,7,32,30,12
"E West","De Wester Quartier",2015,14,7,74,19,12,13,35,45,15
"E West","De Wester Quartier",2016,10,5,72,17,11,12,33,42,14
"E West","De Wester Quartier",2017,7,4,70,15,10,11,32,40,13
"E West","De Wester Quartier",2018,6,3,69,15,10,11,31,39,12
"E West","De Wester Quartier",2019,15,7,75,19,12,13,35,45,16
"E West","De Wester Quartier",2020,6,3,70,15,10,11,31,39,13
"E West","De Wittenbuurt Noord",2015,17,5,78,14,10,11,33,40,13
"E West","De Wittenbuurt Noord",2016,15,4,77,13,9,10,32,39,12
"E West","De Wittenbuurt Noord",2017,15,4,77,13,9,10,32,39,12
"E West","De Wittenbuurt Noord",2018,12,3,75,12,8,9,31,37,11
"E West","De Wittenbuurt Noord",2019,8,1,73,10,7,8,29,35,10
"E West","De Wittenbuurt Noord",2020,19,6,79,15,10,11,34,42,13
"E West","De Wittenbuurt Zuid",2015,10,4,73,19,11,13,33,47,15
"E West","De Wittenbuurt Zuid",2016,6,2,71,17,10,12,31,44,14
"E West","De Wittenbuurt Zuid",2017,0,0,66,12,8,9,27,38,11
"E West","De Wittenbuurt Zuid",2018,9,3,73,18,11,13,32,46,15
"E West","De Wittenbuurt Zuid",2019,6,2,71,17,10,12,31,44,14
"E West","De Wittenbuurt Zuid",2020,0,0,68,14,8,10,28,40,12
"E West","Ecowijk",2015,0,4,76,11,6,7,25,39,9
"E West","Ecowijk",2016,3,5,78,12,7,8,26,41,10
"E West","Ecowijk",2017,2,5,78,12,7,8,26,40,10
"E West","Ecowijk",2018,5,6,79,13,7,8,27,42,11
"E West","Ecowijk",2019,1,4,77,11,6,7,25,40,9
"E West","Ecowijk",2020,3,5,78,12,7,8,26,41,10
"E West","Erasmusparkbuurt Oost",2015,12,3,77,14,9,10,31,39,12
"E West","Erasmusparkbuurt Oost",2016,12,3,77,14,9,10,31,39,12
"E West","Erasmusparkbuurt Oost",2017,12,3,77,14,9,10,31,39,12
"E West","Erasmusparkbuurt Oost",2018,10,2,76,13,8,9,30,38,11
"E West","Erasmusparkbuurt Oost",2019,11,3,76,14,9,10,31,38,12
"E West","Erasmusparkbuurt Oost",2020,11,3,77,14,9,10,31,39,12
"E West","Erasmusparkbuurt West",2015,29,7,77,11,7,8,30,35,10
"E West","Erasmusparkbuurt West",2016,32,8,79,12,8,9,31,37,11
"E West","Erasmusparkbuurt West",2017,26,5,75,9,6,7,28,33,9
"E West","Erasmusparkbuurt West",2018,39,12,84,16,10,11,34,42,14
"E West","Erasmusparkbuurt West",2019,31,8,78,12,8,9,31,36,11
"E West","Erasmusparkbuurt West",2020,32,8,79,12,8,9,31,37,11
"E West","Fannius Scholtenbuurt",2015,30,11,78,14,10,11,35,40,14
"E West","Fannius Scholtenbuurt",2016,28,10,77,13,9,10,34,39,13
"E West","Fannius Scholtenbuurt",2017,27,10,76,13,9,10,34,38,13
"E West","Fannius Scholtenbuurt",2018,33,12,80,15,10,11,36,42,15
"E West","Fannius Scholtenbuurt",2019,26,9,76,12,8,9,33,37,12
"E West","Fannius Scholtenbuurt",2020,28,10,77,13,9,10,34,39,13
"E West","Filips van Almondekwartier",2015,5,2,79,12,8,9,31,36,12
"E West","Filips van Almondekwartier",2016,5,2,79,12,8,9,31,36,12
"E West","Filips van Almondekwartier",2017,4,1,78,11,8,9,31,35,12
"E West","Filips van Almondekwartier",2018,3,1,78,11,7,8,30,34,11
"E West","Filips van Almondekwartier",2019,6,2,80,12,8,9,31,37,12
"E West","Filips van Almondekwartier",2020,9,4,81,14,9,10,33,38,13
"E West","Frederik Hendrikbuurt Noord",2015,37,7,77,12,8,9,32,35,12
"E West","Frederik Hendrikbuurt Noord",2016,38,7,78,12,8,9,32,36,12
"E West","Frederik Hendrikbuurt Noord",2017,32,4,75,9,6,7,29,32,10
"E West","Frederik Hendrikbuurt Noord",2018,38,7,78,12,8,9,32,36,12
"E West","Frederik Hendrikbuurt Noord",2019,36,6,77,11,7,8,31,34,11
"E West","Frederik Hendrikbuurt Noord",2020,37,6,77,11,8,9,31,35,12
"E West","Frederik Hendrikbuurt Zuidoost",2015,34,12,81,14,10,11,36,38,15
"E West","Frederik Hendrikbuurt Zuidoost",2016,30,10,78,12,9,10,34,35,13
"E West","Frederik Hendrikbuurt Zuidoost",2017,33,11,80,13,10,11,35,37,14
"E West","Frederik Hendrikbuurt Zuidoost",2018,20,5,72,7,6,7,30,28,9
"E West","Frederik Hendrikbuurt Zuidoost",2019,25,8,75,9,8,8,32,32,11
"E West","Frederik Hendrikbuurt Zuidoost",2020,36,13,82,15,11,12,37,39,15
"E West","Frederik Hendrikbuurt Zuidwest",2015,8,1,73,18,8,11,27,41,11
"E West","Frederik Hendrikbuurt Zuidwest",2016,7,1,73,18,8,11,27,41,11
"E West","Frederik Hendrikbuurt Zuidwest",2017,3,0,71,16,7,10,25,38,10
"E West","Frederik Hendrikbuurt Zuidwest",2018,10,2,75,20,9,12,28,43,12
"E West","Frederik Hendrikbuurt Zuidwest",2019,10,3,75,20,9,12,28,43,12
"E West","Frederik Hendrikbuurt Zuidwest",2020,10,2,75,19,9,12,28,43,12
"E West","Geuzenhofbuurt",2015,17,1,86,9,7,7,32,33,10
"E West","Geuzenhofbuurt",2016,14,0,84,7,6,6,31,31,9
"E West","Geuzenhofbuurt",2017,13,0,84,7,6,6,31,31,9
"E West","Geuzenhofbuurt",2018,16,1,85,8,6,7,32,32,10
"E West","Geuzenhofbuurt",2019,13,0,84,7,6,6,31,30,9
"E West","Geuzenhofbuurt",2020,17,2,86,9,7,7,32,33,10
"E West","Gibraltarbuurt",2015,19,14,72,19,13,14,35,44,17
"E West","Gibraltarbuurt",2016,17,13,71,18,12,13,34,42,16
"E West","Gibraltarbuurt",2017,19,14,72,19,12,14,35,43,17
"E West","Gibraltarbuurt",2018,15,12,70,17,12,13,33,41,15
"E West","Gibraltarbuurt",2019,16,13,71,18,12,13,34,42,16
"E West","Gibraltarbuurt",2020,12,10,68,15,11,11,32,38,14
"E West","Helmersbuurt Oost",2015,36,5,83,6,4,5,28,28,8
"E West","Helmersbuurt Oost",2016,38,6,84,7,5,6,29,30,9
"E West","Helmersbuurt Oost",2017,36,5,83,6,5,5,28,29,8
"E West","Helmersbuurt Oost",2018,37,6,84,7,5,6,29,30,9
"E West","Helmersbuurt Oost",2019,38,6,84,7,5,6,29,30,9
"E West","Helmersbuurt Oost",2020,36,5,83,6,4,5,28,28,8
"E West","Houthavens Oost",2015,2,2,78,9,4,6,23,40,9
"E West","Houthavens Oost",2016,4,3,79,10,5,7,24,41,10
"E West","Houthavens Oost",2017,6,4,80,11,6,8,25,43,11
"E West","Houthavens Oost",2018,4,3,79,10,5,7,24,41,10
"E West","Houthavens Oost",2019,0,1,77,8,4,6,22,39,9
"E West","Houthavens Oost",2020,4,3,79,10,5,7,24,41,10
"E West","Houthavens West",2015,1,0,88,5,5,5,25,33,9
"E West","Houthavens West",2016,1,0,88,5,5,5,25,33,9
"E West","Houthavens West",2017,1,0,88,5,5,5,25,33,9
"E West","Houthavens West",2018,4,1,90,7,6,6,26,35,10
"E West","Houthavens West",2019,3,1,89,6,6,6,26,34,10
"E West","Houthavens West",2020,0,0,86,4,4,4,24,31,8
"E West","Jan Maijenbuurt",2015,13,1,67,18,11,13,32,41,15
"E West","Jan Maijenbuurt",2016,16,3,69,20,12,14,34,43,16
"E West","Jan Maijenbuurt",2017,21,5,72,22,13,15,36,46,18
"E West","Jan Maijenbuurt",2018,13,2,67,18,11,13,33,41,15
"E West","Jan Maijenbuurt",2019,17,3,70,21,12,14,34,44,16
"E West","Jan Maijenbuurt",2020,13,2,67,18,11,13,33,41,15
"E West","John Franklinbuurt",2015,12,6,73,19,11,13,34,42,16
"E West","John Franklinbuurt",2016,10,5,72,18,11,12,33,41,15
"E West","John Franklinbuurt",2017,8,4,71,17,10,11,32,40,14
"E West","John Franklinbuurt",2018,13,7,74,20,12,13,34,43,16
"E West","John Franklinbuurt",2019,6,3,69,16,10,11,31,38,14
"E West","John Franklinbuurt",2020,14,7,75,20,12,13,35,44,17
"E West","Kolenkitbuurt Noord",2015,0,6,59,25,16,17,30,50,18
"E West","Kolenkitbuurt Noord",2016,3,8,61,27,17,18,32,53,19
"E West","Kolenkitbuurt Noord",2017,0,6,59,25,16,17,30,51,18
"E West","Kolenkitbuurt Noord",2018,5,9,62,28,18,19,33,55,20
"E West","Kolenkitbuurt Noord",2019,4,8,61,27,17,18,32,54,19
"E West","Kolenkitbuurt Noord",2020,0,5,57,24,15,16,29,49,17
"E West","Kolenkitbuurt Zuid",2015,12,8,75,21,13,15,33,45,16
"E West","Kolenkitbuurt Zuid",2016,7,6,72,18,12,13,31,42,14
"E West","Kolenkitbuurt Zuid",2017,8,7,73,19,12,13,31,43,14
"E West","Kolenkitbuurt Zuid",2018,5,5,71,17,11,12,30,41,13
"E West","Kolenkitbuurt Zuid",2019,6,6,72,18,12,13,31,41,14
"E West","Kolenkitbuurt Zuid",2020,5,5,71,17,11,12,30,40,13
"E West","Kortenaerkwartier",2015,23,8,75,13,9,10,30,38,11
"E West","Kortenaerkwartier",2016,25,9,76,14,9,10,31,39,12
"E West","Kortenaerkwartier",2017,24,9,76,14,9,10,31,39,12
"E West","Kortenaerkwartier",2018,24,9,75,14,9,10,31,38,12
"E West","Kortenaerkwartier",2019,28,10,78,15,10,11,32,41,13
"E West","Kortenaerkwartier",2020,27,10,77,15,9,11,32,40,13
"E West","Laan van Spartaan",2015,9,7,77,20,13,14,33,44,16
"E West","Laan van Spartaan",2016,4,5,74,17,12,12,31,40,14
"E West","Laan van Spartaan",2017,3,5,73,17,12,12,31,39,14
"E West","Laan van Spartaan",2018,10,8,77,20,14,14,34,44,16
"E West","Laan van Spartaan",2019,3,5,74,17,12,12,31,39,14
"E West","Laan van Spartaan",2020,3,5,74,17,12,12,31,40,14
"E West","Landlust Noord",2015,12,5,71,16,12,12,32,40,14
"E West","Landlust Noord",2016,13,6,72,17,12,12,33,41,14
"E West","Landlust Noord",2017,15,7,73,18,12,12,34,42,15
"E West","Landlust Noord",2018,13,6,72,17,12,12,33,41,14
"E West","Landlust Noord",2019,14,6,73,17,12,12,33,42,14
"E West","Landlust Noord",2020,10,5,70,15,11,11,32,39,13
"E West","Landlust Zuid",2015,13,10,72,13,9,10,32,38,12
"E West","Landlust Zuid",2016,16,11,74,15,10,11,33,40,13
"E West","Landlust Zuid",2017,17,12,75,16,10,11,34,41,14
"E West","Landlust Zuid",2018,12,9,71,13,9,10,31,37,11
"E West","Landlust Zuid",2019,20,13,77,17,11,12,35,43,14
"E West","Landlust Zuid",2020,21,13,77,18,11,13,35,44,15
"E West","Lootsbuurt",2015,21,5,75,14,9,10,33,36,14
"E West","Lootsbuurt",2016,21,5,75,14,9,10,33,36,14
"E West","Lootsbuurt",2017,21,5,75,14,9,10,33,36,14
"E West","Lootsbuurt",2018,16,3,72,12,8,9,31,33,12
"E West","Lootsbuurt",2019,27,8,78,17,11,12,35,40,16
"E West","Lootsbuurt",2020,22,5,76,14,9,10,33,37,14
"E West","Marcanti",2015,6,4,73,16,9,11,31,43,13
"E West","Marcanti",2016,6,4,73,16,9,11,31,43,13
"E West","Marcanti",2017,8,5,74,17,10,12,32,44,14
"E West","Marcanti",2018,6,4,73,16,9,11,31,43,13
"E West","Marcanti",2019,3,2,71,14,8,10,30,41,12
"E West","Marcanti",2020,0,1,69,13,7,9,28,39,11
"E West","Markthallen",2015,0,0,78,8,5,5,28,36,8
"E West","Markthallen",2016,0,0,81,11,6,7,30,40,10
"E West","Markthallen",2017,2,1,82,12,7,8,31,42,11
"E West","Markthallen",2018,1,0,81,11,6,7,30,41,10
"E West","Markthallen",2019,0,0,81,11,6,7,30,40,10
"E West","Markthallen",2020,0,0,80,10,6,7,29,39,10
"E West","Mercatorpark",2015,5,4,60,27,19,20,44,53,25
"E West","Mercatorpark",2016,2,2,58,25,18,19,43,51,24
"E West","Mercatorpark",2017,5,3,60,26,19,20,44,53,25
"E West","Mercatorpark",2018,3,2,58,25,18,19,43,52,24
"E West","Mercatorpark",2019,0,0,55,23,17,18,41,48,23
"E West","Mercatorpark",2020,7,4,61,28,19,21,45,54,26
"E West","Orteliusbuurt Midden",2015,6,2,74,12,8,9,30,37,12
"E West","Orteliusbuurt Midden",2016,9,4,76,14,9,10,32,39,13
"E West","Orteliusbuurt Midden",2017,12,5,78,16,10,11,33,41,14
"E West","Orteliusbuurt Midden",2018,8,4,76,14,9,10,32,38,13
"E West","Orteliusbuurt Midden",2019,10,5,77,15,9,10,33,40,14
"E West","Orteliusbuurt Midden",2020,15,7,80,17,11,12,35,43,15
"E West","Orteliusbuurt Noord",2015,7,3,73,18,10,11,31,42,14
"E West","Orteliusbuurt Noord",2016,6,3,72,17,10,11,31,41,14
"E West","Orteliusbuurt Noord",2017,10,5,74,19,11,12,33,44,15
"E West","Orteliusbuurt Noord",2018,0,0,68,14,8,9,28,37,12
"E West","Orteliusbuurt Noord",2019,7,3,73,17,10,11,31,42,14
"E West","Orteliusbuurt Noord",2020,8,4,73,18,11,12,32,42,15
"E West","Orteliusbuurt Zuid",2015,6,4,75,18,9,11,33,39,14
"E West","Orteliusbuurt Zuid",2016,4,3,74,17,9,11,32,38,13
"E West","Orteliusbuurt Zuid",2017,4,3,74,17,9,11,32,38,13
"E West","Orteliusbuurt Zuid",2018,3,2,73,16,9,11,31,37,13
"E West","Orteliusbuurt Zuid",2019,2,2,73,16,9,10,31,37,12
"E West","Orteliusbuurt Zuid",2020,4,3,74,17,9,11,32,38,13
"E West","Overbraker Binnenpolder",2015,0,3,71,17,11,12,35,48,18
"E West","Overbraker Binnenpolder",2016,0,3,71,17,11,12,35,48,18
"E West","Overbraker Binnenpolder",2017,0,2,70,16,11,12,34,47,18
"E West","Overbraker Binnenpolder",2018,3,4,73,19,12,13,36,50,19
"E West","Overbraker Binnenpolder",2019,0,2,69,15,10,11,34,46,17
"E West","Overbraker Binnenpolder",2020,0,0,67,13,9,10,32,43,16
"E West","Paramariboplein e.o.",2015,28,16,81,10,7,8,31,32,11
"E West","Paramariboplein e.o.",2016,28,16,81,10,7,8,31,32,11
"E West","Paramariboplein e.o.",2017,24,14,79,8,6,7,29,29,10
"E West","Paramariboplein e.o.",2018,21,13,77,6,5,6,28,27,8
"E West","Paramariboplein e.o.",2019,35,19,85,14,9,10,34,37,14
"E West","Paramariboplein e.o.",2020,32,18,84,12,8,9,33,35,13
"E West","Pieter van der Doesbuurt",2015,24,3,75,14,9,10,33,39,13
